title,date,category,name,leaning
Trump droht illegalen Migranten mit Waffengewalt | obermain.de,11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
"Ärzte in den USA versuchen, woran Politiker scheitern: Die Waffengewalt stoppen",11-25-18,Public opinion,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Amoklauf erschüttert USA Bluttat in Synagoge mit elf Toten erschüttert USA,10-29-18,Society/Culture,,Neutral
Waffengesetz in den USA: Bump Stocks werden verboten | tagesschau.de,12-19-18,Gun control/regulation,,Neutral
Waffengesetze in den USA,5-19-18,Gun control/regulation,,Neutral
Mann im Zusammenhang mit Amoklauf vor Karlsruher Gericht,11-6-18,2nd Amendment,,Neutral
Mainz - Kann man das amerikanische Waffenrecht noch liberal nennen oder ist es schlicht pervers? ...,7-31-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Donald Trumps Handelskrieg [0] Amoklauf des Protektionismus,7-6-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt | Frankenpost,11-2-18,Politics,,Neutral
Tausende Soldaten an Südgrenze: Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
WTF: Kinderlied bereitet Kindergartenkinder in den USA auf Amoklauf vor,6-12-18,Society/Culture,,Neutral
Trump droht illegalen Migranten mit Waffengewalt | Neue Presse Coburg,11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
"Mainz - Kann man das amerikanische Waffenrecht noch liberal nennen, oder ist es schlicht pervers? Pervers sind auf jeden Fall die Pläne, den Bau von Waffen mittels 3D-Druckern zu ermöglichen.",7-31-18,Gun control/regulation,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
GTA 5 - Künstler nutzt Spiel für Statement gegen Waffengewalt in den USA,7-8-18,Society/Culture,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt | obermain.de,11-2-18,Politics,,Neutral
"Tausende Soldaten an… Trump droht illegalen Migranten mit Waffengewalt Donald Trump macht seit Tagen Stimmung gegen die Migranten, die auf dem Weg Richtung US-Grenze sind. Nun plant er, ihnen das Recht auf…  mehr",11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
-- -- -- (function() { var elem = window.park.$('div.park-image__image--lazy').pop(); window.park.lazyLoad(elem); })(); Tausende Soldaten an Südgrenze : Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Politik: Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Debatte über Waffengewalt in den USA nach Schießerei in Schule neu entfacht,5-19-18,School/Public space safety,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Auch Levi's fordert schärfere Waffengesetze in den USA,9-6-18,Gun control/regulation,,Neutral
Donald Trumps Handelskrieg: Amoklauf des Protektionismus,7-6-18,Politics,,Neutral
Santa Fe High School : Debatte über Waffengewalt in den USA nach Schießerei in Schule neu entfacht,5-19-18,School/Public space safety,,Neutral
"Trump droht illegalen Migranten mit Waffengewalt Washington Donald Trump macht seit Tagen Stimmung gegen die Migranten, die auf dem Weg Richtung US-Grenze sind. Nun plant er, ihnen das Recht auf Asyl zu…",11-2-18,Politics,,Neutral
Trump droht illegalen Migranten mit Waffengewalt - Thema des Tages - Cannstatter Zeitung,11-2-18,Politics,,Neutral
Findet ihr das Waffengesetz der USA gut?,5-27-18,Gun control/regulation,,Neutral
Tränen bei Pressekonferenz: Junge rührt Sarah Sanders mit Frage zu Waffengewalt in den USA,5-30-18,Politics,,Neutral
Junge rührt Sarah Sanders mit Frage zu Waffengewalt in den USA,5-30-18,Politics,,Neutral
Donald Trump – „Wir werden immer Euren zweiten Verfassungszusatz schützen',5-6-18,Politics,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
"Politik Trump droht illegalen Migranten mit Waffengewalt Washington (dpa) - US-Präsident Donald Trump hat kurz vor den Kongresswahlen mit Gewalt gegenüber Migranten gedroht, die die USA illegal betreten.",11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Kriminalität USA: Polizei: «Massenschießerei» in Florida,8-27-18,Society/Culture,,Neutral
Panorama Zehn Tote : Schüler gesteht Massaker von Texas – Opfer angeblich bewusst ausgewählt In die Debatte um Waffenrecht in den USA kommt kaum Bewegung.,5-21-18,Public opinion,,Neutral
01:02 Ex-Soldat tötete 12 Menschen Amoklauf in Bar in Kalifornien: Handyvideo zeigt tödliche Schüsse in Thousand Oaks,11-9-18,Mental health,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amoklauf in den USA: Die Stimmen der Generation Parkland werden noch zu hören sein | ZEIT ONLINE,7-27-18,Public opinion,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
"USA verschärft Waffenrecht: ""Bump Stocks"" werden verboten",12-19-18,2nd Amendment,,Neutral
"Pro-Pain Interview über das Album ‚No End In Sight‘, Stephan Weidner, Politik und das Waffengesetz der USA",5-28-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
GTA 5 - Künstler nutzt Spiel für Statement gegen Waffengewalt in den USA - GamePro,7-8-18,Society/Culture,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt | rhoenundsaalepost.de,11-2-18,Politics,,Neutral
"GTA 5: Künstler nutzt Spiel, um auf Waffengewalt in den USA hinzuweisen",7-9-18,Society/Culture,,Neutral
Nach Treffen mit Trump: Angehörige von Amoklauf-Opfern sind entsetzt,6-1-18,Politics,,Neutral
Audio: Schulmassaker in Texas: Debatte um Waffengewalt in USA | tagesschau.de,5-19-18,Society/Culture,,Neutral
"Trump droht illegalen Migranten mit Waffengewalt Donald Trump macht seit Tagen Stimmung gegen die Migranten, die auf dem Weg Richtung US-Grenze sind. Nun plant er, ihnen das Recht auf ...",11-2-18,Politics,,Neutral
"Ärzte in den USA versuchen, woran Politiker scheitern: Sie wollen die Waffengewalt stoppen",11-25-18,Public opinion,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
"Waffengewalt in den USA ""Es gilt, diese neun Minuten zu überleben""",8-27-18,Society/Culture,,Neutral
